Wall time,Step,Value
1669303238.2793481,99,31.25
1669303241.4317608,199,39.0625
1669303242.190928,299,34.375
1669303243.5591629,399,43.75
1669303244.3194757,499,42.1875
1669303245.7129364,599,34.375
1669303246.4733996,699,51.5625
1669303247.8415432,799,50.0
1669303249.2076669,899,57.8125
1669303249.9680083,999,57.8125
1669303251.3353732,1099,57.8125
1669303252.0960715,1199,56.25
1669303253.4628613,1299,50.0
1669303254.2232451,1399,50.0
1669303255.5903184,1499,53.125
1669303256.957419,1599,53.125
1669303257.7177398,1699,81.25
1669303259.0846996,1799,62.5
1669303259.8433745,1899,59.375
1669303261.211359,1999,60.9375
1669303261.971527,2099,65.625
1669303263.3378296,2199,64.0625
1669303264.7366812,2299,50.0
1669303265.4963803,2399,71.875
1669303266.8903074,2499,67.1875
1669303267.6499088,2599,65.625
1669303269.035309,2699,65.625
1669303269.7947683,2799,56.25
1669303271.160714,2899,73.4375
1669303272.526523,2999,56.25
1669303273.2858486,3099,56.25
1669303274.6528442,3199,59.375
1669303275.4114964,3299,62.5
1669303276.7771494,3399,75.0
1669303277.5364835,3499,65.625
1669303278.9036436,3599,62.5
1669303280.2693746,3699,68.75
1669303281.028631,3799,75.0
1669303282.3969278,3899,65.625
1669303283.1558423,3999,68.75
1669303284.5231853,4099,67.1875
1669303285.282776,4199,71.875
1669303286.6510441,4299,65.625
1669303287.410678,4399,76.0
1669303288.8143718,4499,64.0625
1669303290.1806104,4599,75.0
1669303290.9407814,4699,65.625
1669303292.3091588,4799,79.6875
1669303293.0717678,4899,76.5625
1669303294.4404564,4999,75.0
1669303295.1999533,5099,82.8125
1669303296.5682955,5199,68.75
1669303297.9362135,5299,73.4375
1669303298.696329,5399,85.9375
1669303300.0640306,5499,75.0
1669303300.8236096,5599,84.375
1669303302.1926758,5699,75.0
1669303302.9530284,5799,76.5625
1669303304.3203664,5899,70.3125
1669303305.6879685,5999,73.4375
1669303306.4466307,6099,75.0
1669303307.8143861,6199,78.125
1669303308.5746562,6299,84.375
1669303309.970245,6399,78.125
1669303310.7314336,6499,78.125
1669303312.0988426,6599,79.6875
1669303313.4664025,6699,79.6875
1669303314.226178,6799,76.5625
1669303315.5924659,6899,85.9375
1669303316.3521175,6999,82.8125
1669303317.7379625,7099,81.25
1669303318.4978888,7199,81.25
1669303319.8862226,7299,81.25
1669303321.252936,7399,84.375
1669303322.0117872,7499,79.6875
1669303323.385321,7599,84.375
1669303324.145613,7699,79.6875
1669303325.5118191,7799,73.4375
1669303326.270982,7899,82.8125
1669303327.6382535,7999,89.0625
1669303329.0046422,8099,81.25
1669303329.764279,8199,85.9375
1669303331.158034,8299,78.125
1669303331.917535,8399,90.625
1669303333.286562,8499,78.125
1669303334.046439,8599,84.375
1669303335.4146166,8699,79.6875
1669303336.1737597,8799,78.0
1669303337.5403004,8899,76.5625
1669303338.908858,8999,85.9375
1669303339.6690617,9099,85.9375
1669303341.036952,9199,81.25
1669303341.7994835,9299,89.0625
1669303343.166501,9399,93.75
1669303343.9273388,9499,85.9375
1669303345.294585,9599,78.125
1669303346.6619632,9699,84.375
1669303347.422583,9799,85.9375
1669303348.7912683,9899,96.875
1669303349.5517173,9999,90.625
1669303350.919779,10099,89.0625
1669303351.679844,10199,84.375
1669303353.0854275,10299,90.625
1669303354.452269,10399,87.5
1669303355.2128065,10499,92.1875
1669303356.5797606,10599,82.8125
1669303357.3400054,10699,89.0625
1669303358.7066529,10799,84.375
1669303359.466279,10899,89.0625
1669303360.8343222,10999,85.9375
1669303362.20356,11099,85.9375
1669303362.963496,11199,92.1875
1669303364.3506136,11299,92.1875
1669303365.1095805,11399,90.625
1669303366.4989414,11499,84.375
1669303367.2580543,11599,95.3125
1669303368.6233344,11699,92.1875
1669303369.9927726,11799,85.9375
1669303370.753086,11899,85.9375
1669303372.1211925,11999,96.875
1669303372.880485,12099,92.1875
1669303374.2756495,12199,81.25
1669303375.0346496,12299,92.1875
1669303376.401408,12399,87.5
1669303377.7670019,12499,87.5
1669303378.5267026,12599,96.875
1669303379.895096,12699,84.375
1669303380.654413,12799,95.3125
1669303382.0238008,12899,87.5
1669303382.7832901,12999,89.0625
1669303384.149805,13099,90.625
1669303384.910311,13199,88.0
1669303386.2790804,13299,96.875
1669303387.6467714,13399,87.5
1669303388.4076378,13499,92.1875
1669303389.7753227,13599,87.5
1669303390.5359302,13699,95.3125
1669303391.9063294,13799,96.875
1669303392.6710966,13899,84.375
1669303394.0638711,13999,89.0625
1669303395.4624395,14099,98.4375
1669303396.248458,14199,90.625
1669303397.700297,14299,93.75
1669303398.5051885,14399,93.75
1669303399.9320097,14499,89.0625
1669303400.7355928,14599,95.3125
1669303402.1769614,14699,96.875
1669303403.6336422,14799,96.875
1669303404.470742,14899,92.1875
