Wall time,Step,Value
1668891536.0397778,42,7.571282386779785
1668891536.07612,45,8.715364456176758
1668891536.3909936,71,4.421784400939941
1668891536.6686897,94,4.820944786071777
1668891537.4415038,158,4.26412296295166
1668891537.5502758,167,4.188985824584961
1668891539.9584537,229,4.2427568435668945
1668891540.0180457,234,4.258730888366699
1668891540.2687345,255,4.071175575256348
1668891540.4838865,273,4.017627716064453
1668891540.9014962,308,4.107789993286133
1668891540.9254014,310,4.19208288192749
1668891541.020795,318,4.405279636383057
1668891543.5768015,421,3.9963676929473877
1668891544.0418031,460,3.9105467796325684
1668891544.2083974,474,3.846902847290039
1668891546.226027,536,3.9024415016174316
1668891546.54566,563,3.7569403648376465
1668891546.7389123,579,3.7003254890441895
1668891546.82282,586,3.6682016849517822
1668891547.4004793,634,4.165835857391357
1668891547.5562549,647,3.9175453186035156
1668891547.7272835,661,3.968857765197754
1668891547.8477023,671,3.951655864715576
1668891549.7094436,714,4.018263816833496
1668891549.808833,722,3.933345079421997
1668891550.3909557,771,3.675015449523926
1668891550.5587788,785,3.5816612243652344
1668891550.7629342,802,3.817018985748291
1668891550.8347816,808,3.3925962448120117
1668891551.1761696,836,4.013732433319092
1668891553.7930315,945,3.4090967178344727
1668891554.103014,971,3.9586644172668457
1668891554.6262548,1014,3.6271510124206543
1668891556.5410354,1066,3.5193915367126465
1668891556.9931076,1104,3.6624269485473633
1668891557.9112582,1180,3.5894055366516113
1668891560.1848686,1261,3.507847785949707
1668891560.8605483,1316,3.4949660301208496
1668891560.8962266,1319,3.5458974838256836
1668891561.0628362,1333,3.5761313438415527
1668891561.1104627,1337,3.6465015411376953
1668891561.683375,1385,3.434931516647339
1668891561.7668574,1392,3.3633766174316406
1668891563.6240249,1436,3.7720727920532227
1668891563.9796104,1466,3.483067035675049
1668891564.6557684,1523,3.3984270095825195
1668891565.0000153,1552,3.5225868225097656
1668891565.1892655,1568,3.3439812660217285
1668891566.7017853,1584,3.4424819946289062
1668891567.3662686,1640,3.1584010124206543
1668891567.9711065,1691,3.5797781944274902
1668891568.184462,1709,3.3959107398986816
1668891568.2915144,1718,3.3934988975524902
1668891568.458234,1732,3.4026224613189697
1668891568.4819086,1734,3.696190118789673
1668891568.5174804,1737,3.4985194206237793
1668891570.316497,1781,3.607614040374756
1668891571.062007,1844,3.6302804946899414
1668891571.1681085,1853,3.5885393619537354
1668891571.3218346,1866,3.500443935394287
1668891571.3572462,1869,3.3420047760009766
1668891571.4516478,1877,3.223629951477051
1668891571.9239852,1917,3.6757802963256836
1668891572.1251926,1934,3.42506742477417
1668891573.5793724,1947,3.5627102851867676
1668891574.219774,2001,3.4749321937561035
1668891574.6348162,2036,3.5189051628112793
1668891575.1215317,2077,3.43959379196167
1668891575.3562455,2096,3.282252311706543
1668891577.7471168,2187,3.3606767654418945
1668891577.889119,2199,3.51002836227417
1668891578.2679825,2231,3.2351460456848145
1668891578.3397994,2237,3.4998884201049805
1668891578.5769587,2257,3.3723866939544678
1668891578.636742,2262,3.364924430847168
1668891580.4959219,2307,3.376911163330078
1668891580.6380966,2319,3.2702927589416504
1668891581.0529666,2354,3.1856892108917236
1668891581.4704766,2389,3.3439393043518066
1668891581.4823122,2390,3.771944999694824
1668891582.0722713,2436,3.4981560707092285
1668891582.2743847,2453,3.3269824981689453
1668891582.2980056,2455,3.4392313957214355
1668891582.357191,2460,3.7787938117980957
1668891583.9444911,2485,3.1971516609191895
1668891583.9563963,2486,3.205042600631714
1668891584.0985465,2498,3.596555709838867
1668891584.1578438,2503,3.2654809951782227
1668891584.5042799,2532,3.2471530437469482
1668891584.6819565,2547,3.1657657623291016
1668891584.7530322,2553,3.546905517578125
1668891587.643796,2685,3.6260528564453125
1668891588.2945406,2740,3.2429373264312744
1668891588.895684,2789,3.6191248893737793
1668891591.5145018,2896,3.401118755340576
1668891592.3559823,2967,3.331617832183838
1668891594.2068,3011,2.986682891845703
1668891594.5256164,3038,3.099055290222168
1668891594.560947,3041,3.205232620239258
1668891595.2487962,3099,3.3187735080718994
1668891595.9916995,3161,3.3951120376586914
1668891597.677227,3196,3.1647112369537354
1668891598.0794923,3230,3.1289710998535156
1668891598.246675,3244,3.1644561290740967
1668891598.2708154,3246,3.111727714538574
1668891598.2828627,3247,3.2870261669158936
1668891598.976626,3305,3.0890846252441406
1668891601.5313997,3408,3.199967384338379
1668891602.0471044,3449,3.1006879806518555
1668891602.4205947,3480,3.0541229248046875
1668891605.1800385,3600,2.945763349533081
1668891605.3945758,3618,2.919034957885742
1668891605.4185405,3620,3.160583972930908
1668891606.0158198,3670,3.101938247680664
1668891607.95918,3726,3.1580209732055664
1668891608.1384382,3741,2.939939022064209
1668891608.7726045,3793,2.7756235599517822
1668891609.0225337,3814,2.9123544692993164
1668891609.174554,3821,3.123358726501465
1668891611.812771,3928,2.8938043117523193
1668891612.1468966,3956,2.9940290451049805
1668891612.4804196,3984,3.039397716522217
1668891613.103707,4036,3.0218050479888916
1668891615.158303,4098,2.9600791931152344
1668891616.3418481,4196,3.0399575233459473
1668891616.4144223,4202,3.339722156524658
1668891617.9850402,4227,2.765233039855957
1668891618.0448332,4232,3.077542781829834
1668891618.4147696,4263,2.9465110301971436
1668891618.9033372,4304,2.834272861480713
1668891619.0596755,4317,2.8686025142669678
1668891619.0838225,4319,2.9197371006011963
1668891621.363176,4400,3.0587844848632812
1668891622.4625533,4492,2.6560444831848145
1668891622.6666608,4509,3.188416004180908
1668891622.9182668,4530,2.8978700637817383
1668891625.3962479,4628,2.9354248046875
1668891625.8237445,4664,2.8759524822235107
1668891625.8712962,4668,3.1616737842559814
1668891625.9663696,4676,3.1610569953918457
1668891626.8465354,4750,2.8976521492004395
1668891628.6362925,4788,2.6753151416778564
1668891628.802148,4802,2.9029409885406494
1668891629.2602088,4840,2.8120203018188477
1668891629.402418,4852,3.054504871368408
1668891629.9124527,4894,2.7638938426971436
1668891632.0147347,4962,2.762150526046753
1668891632.1216106,4971,2.9182968139648438
1668891632.1571417,4974,2.8519959449768066
1668891633.057782,5050,2.6304802894592285
1668891633.0814602,5052,2.791102409362793
1668891635.032458,5106,2.8948659896850586
1668891635.364481,5134,2.7747268676757812
1668891636.6093743,5239,2.7211477756500244
1668891638.9804916,5329,2.731107711791992
1668891639.1698468,5345,2.7538914680480957
1668891639.3354537,5359,2.7853586673736572
1668891640.0567038,5420,2.5966732501983643
1668891642.5114803,5515,3.0048484802246094
1668891642.5351245,5517,2.5884318351745605
1668891642.9140341,5549,2.80959415435791
1668891645.5598192,5664,2.6053922176361084
1668891645.7369447,5679,2.660810708999634
1668891646.2572658,5723,2.7162625789642334
1668891648.5925736,5808,2.7608261108398438
1668891648.7953396,5825,2.6935982704162598
1668891648.8308573,5828,2.6476645469665527
1668891649.2582035,5864,2.6064486503601074
1668891649.3411722,5871,2.882397174835205
1668891649.7672777,5907,2.7516491413116455
1668891650.0157306,5928,2.7915964126586914
1668891652.0839717,5990,2.6906285285949707
1668891652.320794,6010,2.677334785461426
1668891653.6646287,6121,2.735807418823242
1668891653.7826593,6131,2.787738800048828
1668891655.6594596,6181,2.517040729522705
1668891655.8836262,6200,2.7786574363708496
1668891656.036916,6213,2.6533403396606445
1668891656.1090326,6219,2.618450403213501
1668891656.264252,6232,2.6563162803649902
1668891656.9397078,6289,2.811218738555908
1668891657.2121544,6312,2.7234933376312256
1668891657.2712734,6317,2.8193013668060303
1668891658.868474,6341,2.4505560398101807
1668891659.285894,6376,2.53387188911438
1668891659.5735116,6400,2.5330545902252197
1668891660.7227683,6496,2.5994977951049805
1668891662.3228,6520,2.508511543273926
1668891662.9690893,6574,2.5181636810302734
1668891663.3159242,6603,2.5874295234680176
1668891663.961,6657,2.782020330429077
1668891665.700938,6696,2.503439426422119
1668891665.7367797,6699,2.4155354499816895
1668891665.880163,6711,2.5484161376953125
1668891666.249866,6742,2.4687271118164062
1668891667.4903615,6846,2.3801698684692383
1668891667.5854306,6854,2.6403250694274902
1668891669.061581,6869,2.3789258003234863
1668891670.2215376,6966,2.3517022132873535
1668891670.531477,6992,2.3060648441314697
1668891670.794131,7014,2.3229010105133057
1668891673.1974568,7106,2.3522579669952393
1668891673.2930236,7114,2.4420740604400635
1668891673.7814348,7155,2.466334342956543
1668891675.8182154,7216,2.4005417823791504
1668891676.1882236,7247,2.379403591156006
1668891676.9518664,7311,2.5948662757873535
1668891677.1667044,7329,2.640146017074585
1668891677.286568,7339,2.3509700298309326
1668891677.2984798,7340,2.519531726837158
1668891677.5257905,7359,2.5427145957946777
1668891677.8000004,7382,2.342351198196411
1668891679.298607,7401,2.418870210647583
1668891679.882722,7450,2.4304518699645996
1668891680.0019572,7460,2.7185089588165283
1668891680.0374484,7463,2.6850545406341553
1668891680.2164745,7478,2.27830171585083
1668891680.6104448,7511,2.4518182277679443
1668891683.5039406,7644,2.287640333175659
1668891684.0176575,7687,2.388805627822876
1668891684.0895545,7693,2.2768142223358154
1668891686.2040868,7760,2.255847692489624
1668891686.537974,7788,2.45330548286438
1668891686.656546,7798,2.289576768875122
1668891687.0721116,7833,2.530773639678955
1668891687.8667076,7900,2.3430709838867188
1668891689.5741053,7932,2.295607328414917
1668891690.2706637,7991,2.445244073867798
1668891690.6838276,8026,2.2975142002105713
1668891690.955469,8049,2.385794162750244
1668891691.1560414,8066,2.3629322052001953
1668891693.7961287,8180,2.3279449939727783
1668891694.2101588,8215,2.417515277862549
1668891694.2811666,8221,2.0696349143981934
1668891696.4328556,8290,2.1571905612945557
1668891696.9534614,8334,2.2548036575317383
1668891697.2970786,8363,2.4081592559814453
1668891697.356199,8368,2.3126139640808105
1668891697.4627223,8377,2.2572011947631836
1668891699.8330011,8467,2.238511323928833
1668891699.8684165,8470,2.1148765087127686
1668891700.1991339,8498,2.238603353500366
1668891700.3171659,8508,2.202476739883423
1668891701.0024204,8566,2.189188241958618
1668891701.415907,8601,2.261767864227295
1668891703.0758321,8634,2.2007808685302734
1668891703.0876663,8635,2.1512978076934814
1668891703.7976165,8695,2.0543718338012695
1668891706.584244,8819,2.0861732959747314
1668891706.6198351,8822,2.11514949798584
1668891707.2829058,8878,2.0630130767822266
1668891707.590454,8904,2.172010898590088
1668891707.6259332,8907,2.1680524349212646
1668891707.8745527,8928,2.1045756340026855
1668891707.9573727,8935,2.1155898571014404
1668891709.9773352,8993,2.1065011024475098
1668891710.0487306,8999,2.2363369464874268
1668891710.7113967,9055,2.1372873783111572
1668891710.8059764,9063,2.212042808532715
1668891714.0306647,9226,2.137934446334839
1668891714.1135774,9233,2.0426406860351562
1668891714.4325438,9260,2.2785654067993164
1668891715.0951731,9316,2.237508773803711
1668891716.7790146,9348,2.0902693271636963
