Wall time,Step,Value
1669321409.4477327,99,28.125
1669321412.8155823,199,45.3125
1669321413.7888212,299,34.375
1669321415.3788705,399,45.3125
1669321416.352886,499,46.875
1669321417.9703593,599,54.6875
1669321418.9442537,699,71.875
1669321420.533396,799,68.75
1669321422.1232526,899,59.375
1669321423.096997,999,70.3125
1669321424.6867566,1099,70.3125
1669321425.6607773,1199,65.625
1669321427.2495902,1299,67.1875
1669321428.2231996,1399,57.8125
1669321429.8122714,1499,59.375
1669321431.4019432,1599,57.8125
1669321432.375552,1699,68.75
1669321433.9639065,1799,68.75
1669321434.9380023,1899,68.75
1669321436.557416,1999,70.3125
1669321437.5307019,2099,73.4375
1669321439.1200857,2199,75.0
1669321440.7285557,2299,76.5625
1669321441.7019818,2399,64.0625
1669321443.318776,2499,76.5625
1669321444.292654,2599,75.0
1669321445.882777,2699,62.5
1669321446.856294,2799,70.3125
1669321448.4444454,2899,65.625
1669321450.0329974,2999,78.125
1669321451.0071058,3099,73.4375
1669321452.5967634,3199,76.5625
1669321453.570601,3299,68.75
1669321455.1589959,3399,76.5625
1669321456.1328394,3499,73.4375
1669321457.721379,3599,79.6875
1669321459.3097444,3699,65.625
1669321460.284059,3799,71.875
1669321461.8733256,3899,79.6875
1669321462.8470085,3999,81.25
1669321464.4356809,4099,78.125
1669321465.4093544,4199,76.5625
1669321466.9998586,4299,67.1875
1669321467.9727309,4399,76.0
1669321469.6021664,4499,73.4375
1669321471.1923282,4599,75.0
1669321472.1665206,4699,81.25
1669321473.757114,4799,82.8125
1669321474.7306721,4899,82.8125
1669321476.3194585,4999,78.125
1669321477.2930312,5099,75.0
1669321478.8830945,5199,71.875
1669321480.4732199,5299,90.625
1669321481.447857,5399,76.5625
1669321483.0367892,5499,70.3125
1669321484.0102992,5599,82.8125
1669321485.5997045,5699,84.375
1669321486.5731158,5799,78.125
1669321488.1624842,5899,67.1875
1669321489.7513845,5999,67.1875
1669321490.7251616,6099,73.4375
1669321492.3320963,6199,82.8125
1669321493.3057861,6299,82.8125
1669321494.9476109,6399,79.6875
1669321495.9215064,6499,78.125
1669321497.5196345,6599,79.6875
1669321499.1095603,6699,84.375
1669321500.0839152,6799,71.875
1669321501.6755407,6899,79.6875
1669321502.649313,6999,85.9375
1669321504.2386622,7099,87.5
1669321505.2122762,7199,84.375
1669321506.8032165,7299,76.5625
1669321508.3941631,7399,81.25
1669321509.3681066,7499,85.9375
1669321510.9590201,7599,87.5
1669321511.9325771,7699,81.25
1669321513.5231495,7799,85.9375
1669321514.4966588,7899,68.75
1669321516.087068,7999,84.375
1669321517.678117,8099,76.5625
1669321518.6521513,8199,73.4375
1669321520.24364,8299,89.0625
1669321521.2174013,8399,84.375
1669321522.8455994,8499,81.25
1669321523.8192458,8599,93.75
1669321525.4095612,8699,82.8125
1669321526.3828187,8799,78.0
1669321527.9737227,8899,81.25
1669321529.5632446,8999,79.6875
1669321530.5369017,9099,82.8125
1669321532.1257117,9199,85.9375
1669321533.0992699,9299,82.8125
1669321534.6900375,9399,84.375
1669321535.66362,9499,82.8125
1669321537.2740517,9599,84.375
1669321538.8856046,9699,87.5
1669321539.8591964,9799,81.25
1669321541.4498405,9899,93.75
1669321542.423296,9999,89.0625
1669321544.0159113,10099,79.6875
1669321544.9893594,10199,87.5
1669321546.578313,10299,82.8125
1669321548.166959,10399,84.375
1669321549.1402621,10499,92.1875
1669321550.7569144,10599,84.375
1669321551.7303874,10699,75.0
1669321553.320432,10799,89.0625
1669321554.2942948,10899,81.25
1669321555.8839464,10999,90.625
1669321557.4733152,11099,87.5
1669321558.4470305,11199,93.75
1669321560.0375166,11299,93.75
1669321561.010986,11399,75.0
1669321562.6009746,11499,82.8125
1669321563.5747495,11599,85.9375
1669321565.164909,11699,89.0625
1669321566.755191,11799,81.25
1669321567.7289655,11899,93.75
