Wall time,Step,Value
1668891536.0398748,42,17.1875
1668891536.0762188,45,7.8125
1668891536.3911,71,35.9375
1668891536.6688144,94,21.875
1668891537.4416034,158,23.4375
1668891537.5503745,167,34.375
1668891539.9585555,229,37.5
1668891540.0181472,234,29.6875
1668891540.268836,255,39.0625
1668891540.4839895,273,34.375
1668891540.9015923,308,40.625
1668891540.9255056,310,34.375
1668891541.0208952,318,28.125
1668891543.5768988,421,43.75
1668891544.041902,460,46.875
1668891544.2084975,474,43.75
1668891546.2261307,536,39.0625
1668891546.5457592,563,42.1875
1668891546.739013,579,51.5625
1668891546.8229136,586,46.875
1668891547.400738,634,40.625
1668891547.5563474,647,48.4375
1668891547.7275438,661,40.625
1668891547.853854,671,46.875
1668891549.709588,714,39.0625
1668891549.808936,722,32.8125
1668891550.3910606,771,54.6875
1668891550.5588763,785,57.8125
1668891550.763033,802,51.5625
1668891550.8348818,808,57.8125
1668891551.1762712,836,45.3125
1668891553.793137,945,60.9375
1668891554.1031215,971,37.5
1668891554.6264968,1014,56.25
1668891556.5411446,1066,53.125
1668891556.9932022,1104,48.4375
1668891557.9113562,1180,51.5625
1668891560.1849647,1261,57.8125
1668891560.8606427,1316,57.8125
1668891560.8963192,1319,64.0625
1668891561.0629263,1333,53.125
1668891561.1105585,1337,59.375
1668891561.683467,1385,62.5
1668891561.766951,1392,67.1875
1668891563.624129,1436,51.5625
1668891563.9797065,1466,59.375
1668891564.6558654,1523,62.5
1668891565.0001178,1552,62.5
1668891565.189365,1568,67.1875
1668891566.7018988,1584,60.9375
1668891567.3663669,1640,70.3125
1668891567.9711967,1691,53.125
1668891568.1845536,1709,60.9375
1668891568.2916083,1718,56.25
1668891568.4583294,1732,62.5
1668891568.4820044,1734,57.8125
1668891568.5175734,1737,59.375
1668891570.316593,1781,60.9375
1668891571.0621114,1844,56.25
1668891571.168205,1853,50.0
1668891571.321929,1866,56.25
1668891571.357342,1869,65.625
1668891571.4517462,1877,65.625
1668891571.924091,1917,51.5625
1668891572.125289,1934,60.9375
1668891573.5794756,1947,57.8125
1668891574.2198725,2001,67.1875
1668891574.634909,2036,54.6875
1668891575.1216264,2077,60.9375
1668891575.3563402,2096,64.0625
1668891577.747214,2187,60.9375
1668891577.8892143,2199,59.375
1668891578.2680843,2231,68.75
1668891578.3398979,2237,57.8125
1668891578.5770655,2257,60.9375
1668891578.636845,2262,60.9375
1668891580.496023,2307,59.375
1668891580.6381931,2319,62.5
1668891581.053071,2354,64.0625
1668891581.4705765,2389,73.4375
1668891581.4824135,2390,53.125
1668891582.0723734,2436,51.5625
1668891582.274482,2453,60.9375
1668891582.2981129,2455,59.375
1668891582.3572905,2460,43.75
1668891583.94459,2485,59.375
1668891583.9565008,2486,59.375
1668891584.0986466,2498,54.6875
1668891584.157941,2503,64.0625
1668891584.5043795,2532,59.375
1668891584.6820629,2547,67.1875
1668891584.7531338,2553,54.6875
1668891587.6438928,2685,48.4375
1668891588.2946346,2740,67.1875
1668891588.895776,2789,62.5
1668891591.514598,2896,54.6875
1668891592.3560839,2967,65.625
1668891594.2068946,3011,75.0
1668891594.5257132,3038,70.3125
1668891594.5610435,3041,60.9375
1668891595.2488854,3099,60.9375
1668891595.991797,3161,59.375
1668891597.677328,3196,64.0625
1668891598.0795906,3230,59.375
1668891598.2467752,3244,67.1875
1668891598.2709117,3246,64.0625
1668891598.2829592,3247,62.5
1668891598.9767222,3305,70.3125
1668891601.5314996,3408,73.4375
1668891602.0472026,3449,70.3125
1668891602.420694,3480,73.4375
1668891605.180142,3600,76.5625
1668891605.394673,3618,75.0
1668891605.4186375,3620,59.375
1668891606.0159175,3670,70.3125
1668891607.9592776,3726,64.0625
1668891608.1385357,3741,78.125
1668891608.772703,3793,76.5625
1668891609.022631,3814,68.75
1668891609.1746516,3821,64.0625
1668891611.812867,3928,78.125
1668891612.146993,3956,71.875
1668891612.480517,3984,68.75
1668891613.1038048,4036,70.3125
1668891615.1583974,4098,67.1875
1668891616.3419495,4196,65.625
1668891616.414521,4202,59.375
1668891617.9851475,4227,79.6875
1668891618.0449355,4232,71.875
1668891618.4148674,4263,68.75
1668891618.903437,4304,73.4375
1668891619.0597723,4317,75.0
1668891619.0839214,4319,73.4375
1668891621.3632889,4400,78.125
1668891622.4626524,4492,84.375
1668891622.666758,4509,70.3125
1668891622.918367,4530,75.0
1668891625.3963473,4628,75.0
1668891625.8238416,4664,70.3125
1668891625.8713984,4668,65.625
1668891625.9664707,4676,57.8125
1668891626.8466337,4750,71.875
1668891628.6363847,4788,87.5
1668891628.8022425,4802,75.0
1668891629.2603,4840,76.5625
1668891629.4025116,4852,67.1875
1668891629.9125507,4894,75.0
1668891632.014832,4962,76.5625
1668891632.1217096,4971,71.875
1668891632.1572382,4974,76.5625
1668891633.0578794,5050,79.6875
1668891633.0815566,5052,76.5625
1668891635.032559,5106,67.1875
1668891635.3645737,5134,78.125
1668891636.6094718,5239,76.5625
1668891638.9805896,5329,73.4375
1668891639.1699445,5345,75.0
1668891639.3355527,5359,73.4375
1668891640.0567942,5420,79.6875
1668891642.5115771,5515,68.75
1668891642.5352206,5517,82.8125
1668891642.914137,5549,78.125
1668891645.559916,5664,81.25
1668891645.7370415,5679,78.125
1668891646.257358,5723,81.25
1668891648.5926874,5808,70.3125
1668891648.7954383,5825,76.5625
1668891648.8309565,5828,73.4375
1668891649.2583025,5864,81.25
1668891649.341274,5871,67.1875
1668891649.7673733,5907,78.125
1668891650.015831,5928,78.125
1668891652.0840802,5990,73.4375
1668891652.3208914,6010,78.125
1668891653.6647284,6121,70.3125
1668891653.7827587,6131,76.5625
1668891655.6595545,6181,79.6875
1668891655.883722,6200,75.0
1668891656.0370107,6213,76.5625
1668891656.109135,6219,76.5625
1668891656.264349,6232,79.6875
1668891656.9398017,6289,71.875
1668891657.2122524,6312,79.6875
1668891657.271368,6317,75.0
1668891658.8685782,6341,85.9375
1668891659.285992,6376,85.9375
1668891659.5736072,6400,82.8125
1668891660.72286,6496,76.5625
1668891662.3229015,6520,79.6875
1668891662.9691875,6574,84.375
1668891663.3160143,6603,76.5625
1668891663.9611058,6657,75.0
1668891665.7010381,6696,82.8125
1668891665.7368772,6699,85.9375
1668891665.8802633,6711,75.0
1668891666.2499614,6742,84.375
1668891667.4904587,6846,85.9375
1668891667.5855267,6854,78.125
1668891669.0616848,6869,84.375
1668891670.221635,6966,84.375
1668891670.5315747,6992,87.5
1668891670.7942297,7014,85.9375
1668891673.197554,7106,84.375
1668891673.293128,7114,79.6875
1668891673.7815306,7155,78.125
1668891675.8183298,7216,78.125
1668891676.1883204,7247,82.8125
1668891676.9519613,7311,75.0
1668891677.1668005,7329,78.125
1668891677.286666,7339,84.375
1668891677.2985756,7340,78.125
1668891677.5258877,7359,73.4375
1668891677.8001094,7382,87.5
1668891679.298707,7401,79.6875
1668891679.8828177,7450,84.375
1668891680.0020585,7460,73.4375
1668891680.0375447,7463,75.0
1668891680.216572,7478,85.9375
1668891680.6105425,7511,82.8125
1668891683.5040326,7644,87.5
1668891684.0177536,7687,84.375
1668891684.089652,7693,89.0625
1668891686.2041876,7760,85.9375
1668891686.5380783,7788,81.25
1668891686.6566446,7798,84.375
1668891687.0722048,7833,75.0
1668891687.8668056,7900,81.25
1668891689.574204,7932,79.6875
1668891690.2707605,7991,78.125
1668891690.6839273,8026,81.25
1668891690.955565,8049,81.25
1668891691.1561468,8066,82.8125
1668891693.7962258,8180,78.125
1668891694.2102501,8215,73.4375
1668891694.2812605,8221,93.75
1668891696.432953,8290,87.5
1668891696.9535596,8334,84.375
1668891697.297175,8363,75.0
1668891697.3562944,8368,85.9375
1668891697.4628205,8377,81.25
1668891699.8331082,8467,84.375
1668891699.8685148,8470,90.625
1668891700.199231,8498,82.8125
1668891700.3172607,8508,82.8125
1668891701.0025163,8566,84.375
1668891701.4160035,8601,81.25
1668891703.075931,8634,87.5
1668891703.0877674,8635,85.9375
1668891703.797712,8695,92.1875
1668891706.5843418,8819,87.5
1668891706.619935,8822,87.5
1668891707.2830021,8878,89.0625
1668891707.5905492,8904,89.0625
1668891707.6260283,8907,84.375
1668891707.874652,8928,84.375
1668891707.9574687,8935,89.0625
1668891709.9774349,8993,84.375
1668891710.04883,8999,81.25
1668891710.7114942,9055,82.8125
1668891710.8060768,9063,85.9375
1668891714.03076,9226,84.375
1668891714.1136732,9233,87.5
1668891714.4326406,9260,81.25
1668891715.09527,9316,81.25
1668891716.77912,9348,85.9375
1668891717.5359201,9412,81.25
1668891717.5714169,9415,81.25
1668891717.807594,9435,84.375
1668891717.8902693,9442,92.1875
1668891718.2211723,9468,84.375
1668891720.5001934,9538,79.6875
1668891720.607359,9547,89.0625
1668891720.690437,9554,89.0625
1668891720.8444252,9567,93.75
1668891721.105179,9589,89.0625
1668891721.560941,9627,87.5
1668891721.9207582,9657,90.625
1668891723.5047696,9680,85.9375
1668891723.7203069,9698,90.625
1668891724.5578437,9768,92.1875
1668891725.6262743,9843,85.9375
1668891727.3806345,9883,79.6875
1668891727.6672668,9907,89.0625
1668891728.4479673,9972,92.1875
1668891730.6867344,10050,84.375
1668891730.7470748,10055,85.9375
1668891730.7831204,10058,87.5
1668891731.0942104,10084,81.25
1668891732.1003356,10168,90.625
1668891732.3039975,10185,89.0625
1668891734.4637806,10256,84.375
1668891734.7027018,10276,84.375
1668891734.786099,10283,87.5
1668891737.4487333,10396,87.5
1668891737.4845932,10399,92.1875
1668891737.7345922,10420,92.1875
1668891738.4404697,10479,92.1875
1668891738.560215,10489,82.8125
1668891738.6078665,10493,92.1875
1668891738.9567108,10522,90.625
1668891739.350687,10555,84.375
1668891741.2441413,10607,87.5
1668891741.4476125,10624,89.0625
1668891741.6159647,10638,92.1875
1668891741.8074014,10654,92.1875
1668891742.0106163,10671,90.625
1668891742.4889321,10711,93.75
1668891744.3524702,10757,96.875
1668891744.3643584,10758,95.3125
1668891744.626938,10780,81.25
1668891745.0446553,10815,92.1875
1668891745.1639936,10825,85.9375
1668891745.3544266,10841,90.625
1668891745.4616065,10850,90.625
1668891745.6458504,10864,90.625
1668891746.1,10902,84.375
1668891746.1357982,10905,81.25
1668891747.8586397,10939,87.5
1668891747.9062436,10943,87.5
1668891748.1813347,10966,89.0625
1668891748.2531295,10972,90.625
1668891748.277001,10974,93.75
1668891748.7545238,11014,81.25
1668891748.826244,11020,90.625
1668891748.9809148,11033,92.1875
1668891749.0405936,11038,89.0625
1668891751.0968812,11102,95.3125
1668891751.3222318,11121,89.0625
1668891751.4290156,11130,93.75
1668891751.9621532,11175,85.9375
1668891752.2344396,11198,81.25
1668891752.258133,11200,78.125
1668891752.269956,11201,95.3125
1668891752.9697235,11260,84.375
1668891756.1868818,11419,90.625
1668891758.1268556,11472,92.1875
1668891758.3646069,11492,87.5
1668891758.732455,11523,96.875
1668891758.8390791,11532,90.625
1668891759.04022,11549,96.875
1668891759.241347,11566,93.75
1668891759.6085742,11597,96.875
1668891761.4878697,11648,92.1875
1668891761.761485,11671,95.3125
1668891761.927389,11685,89.0625
1668891762.8043396,11759,89.0625
1668891765.523947,11873,89.0625
1668891767.970337,11969,96.875
1668891768.0298972,11974,85.9375
1668891768.4578912,12010,93.75
1668891768.82558,12041,87.5
1668891769.9762454,12138,84.375
1668891771.621516,12164,93.75
1668891771.6688294,12168,98.4375
1668891771.85825,12184,90.625
1668891772.356847,12226,92.1875
